timestamp,host,latency_ms
2025-07-06T07:14:14.806099,8.8.8.8,53.0
2025-07-06T07:14:14.807079,1.1.1.1,29.0
2025-07-06T07:14:14.807732,cloudflare.com,4.0
2025-07-06T07:14:14.824762,ec2.ap-southeast-2.amazonaws.com,39.0
2025-07-06T07:14:14.825700,208.67.222.222,50.0
2025-07-06T07:14:15.020925,8.8.8.8,36.0
2025-07-06T07:14:15.021664,1.1.1.1,6.0
2025-07-06T07:14:15.022239,cloudflare.com,7.0
2025-07-06T07:14:15.033655,ec2.ap-southeast-2.amazonaws.com,41.0
2025-07-06T07:14:15.034410,208.67.222.222,28.0
2025-07-06T07:14:15.231352,8.8.8.8,34.0
2025-07-06T07:14:15.231998,1.1.1.1,7.0
2025-07-06T07:14:15.232579,cloudflare.com,9.0
2025-07-06T07:14:15.242835,ec2.ap-southeast-2.amazonaws.com,42.0
2025-07-06T07:14:15.243826,208.67.222.222,34.0
2025-07-06T07:14:15.428986,8.8.8.8,30.0
2025-07-06T07:14:15.429640,1.1.1.1,6.0
2025-07-06T07:14:15.430146,cloudflare.com,7.0
2025-07-06T07:14:15.444778,ec2.ap-southeast-2.amazonaws.com,41.0
2025-07-06T07:14:15.445389,208.67.222.222,30.0
2025-07-06T07:14:15.618481,8.8.8.8,29.0
2025-07-06T07:14:15.619203,1.1.1.1,9.0
2025-07-06T07:14:15.619747,cloudflare.com,7.0
2025-07-06T07:14:15.635692,ec2.ap-southeast-2.amazonaws.com,41.0
2025-07-06T07:14:15.636591,208.67.222.222,31.0
2025-07-06T07:14:15.813614,8.8.8.8,30.0
2025-07-06T07:14:15.814154,1.1.1.1,7.0
2025-07-06T07:14:15.814642,cloudflare.com,8.0
2025-07-06T07:14:15.831103,ec2.ap-southeast-2.amazonaws.com,42.0
2025-07-06T07:14:15.831629,208.67.222.222,29.0
2025-07-06T07:14:16.011660,8.8.8.8,35.0
2025-07-06T07:14:16.012223,1.1.1.1,8.0
2025-07-06T07:14:16.012705,cloudflare.com,6.0
2025-07-06T07:14:16.022001,ec2.ap-southeast-2.amazonaws.com,38.0
2025-07-06T07:14:16.022572,208.67.222.222,31.0
2025-07-06T07:14:16.195826,8.8.8.8,30.0
2025-07-06T07:14:16.196581,1.1.1.1,6.0
2025-07-06T07:14:16.197156,cloudflare.com,5.0
2025-07-06T07:14:16.210124,ec2.ap-southeast-2.amazonaws.com,38.0
2025-07-06T07:14:16.210656,208.67.222.222,30.0
2025-07-06T07:14:16.414466,8.8.8.8,30.0
2025-07-06T07:14:16.415105,1.1.1.1,7.0
2025-07-06T07:14:16.415750,cloudflare.com,5.0
2025-07-06T07:14:16.430082,ec2.ap-southeast-2.amazonaws.com,39.0
2025-07-06T07:14:16.430670,208.67.222.222,29.0
2025-07-06T07:14:16.681366,8.8.8.8,39.0
2025-07-06T07:14:16.681980,1.1.1.1,5.0
2025-07-06T07:14:16.692440,cloudflare.com,7.0
2025-07-06T07:14:16.693195,ec2.ap-southeast-2.amazonaws.com,48.0
2025-07-06T07:14:16.693802,208.67.222.222,39.0
2025-07-06T07:14:16.868865,8.8.8.8,31.0
2025-07-06T07:14:16.869531,1.1.1.1,8.0
2025-07-06T07:14:16.870129,cloudflare.com,5.0
2025-07-06T07:14:16.882497,ec2.ap-southeast-2.amazonaws.com,39.0
2025-07-06T07:14:16.883056,208.67.222.222,29.0
2025-07-06T07:14:17.064973,8.8.8.8,30.0
2025-07-06T07:14:17.065626,1.1.1.1,8.0
2025-07-06T07:14:17.066162,cloudflare.com,6.0
2025-07-06T07:14:17.078611,ec2.ap-southeast-2.amazonaws.com,timeout
2025-07-06T07:14:17.079249,208.67.222.222,30.0
2025-07-06T07:14:17.261716,8.8.8.8,32.0
2025-07-06T07:14:17.262374,1.1.1.1,6.0
2025-07-06T07:14:17.262929,cloudflare.com,9.0
2025-07-06T07:14:17.274570,ec2.ap-southeast-2.amazonaws.com,41.0
2025-07-06T07:14:17.275129,208.67.222.222,30.0
2025-07-06T07:14:17.458448,8.8.8.8,30.0
2025-07-06T07:14:17.459020,1.1.1.1,9.0
2025-07-06T07:14:17.459570,cloudflare.com,8.0
2025-07-06T07:14:17.475123,ec2.ap-southeast-2.amazonaws.com,42.0
2025-07-06T07:14:17.475724,208.67.222.222,31.0
2025-07-06T07:14:17.659133,8.8.8.8,32.0
2025-07-06T07:14:17.659670,1.1.1.1,8.0
2025-07-06T07:14:17.660313,cloudflare.com,6.0
2025-07-06T07:14:17.669686,ec2.ap-southeast-2.amazonaws.com,37.0
2025-07-06T07:14:17.670319,208.67.222.222,30.0
2025-07-06T07:14:17.858067,8.8.8.8,30.0
2025-07-06T07:14:17.858632,1.1.1.1,8.0
2025-07-06T07:14:17.859241,cloudflare.com,9.0
2025-07-06T07:14:17.873809,ec2.ap-southeast-2.amazonaws.com,40.0
2025-07-06T07:14:17.874400,208.67.222.222,28.0
2025-07-06T07:14:18.054532,8.8.8.8,32.0
2025-07-06T07:14:18.055359,1.1.1.1,9.0
2025-07-06T07:14:18.056017,cloudflare.com,7.0
2025-07-06T07:14:18.068510,ec2.ap-southeast-2.amazonaws.com,42.0
2025-07-06T07:14:18.069086,208.67.222.222,27.0
2025-07-06T07:14:18.253831,8.8.8.8,33.0
2025-07-06T07:14:18.254433,1.1.1.1,4.0
2025-07-06T07:14:18.255138,cloudflare.com,10.0
2025-07-06T07:14:18.266998,ec2.ap-southeast-2.amazonaws.com,40.0
2025-07-06T07:14:18.267538,208.67.222.222,33.0
2025-07-06T07:14:18.473957,8.8.8.8,31.0
2025-07-06T07:14:18.474628,1.1.1.1,12.0
2025-07-06T07:14:18.475214,cloudflare.com,8.0
2025-07-06T07:14:18.495613,ec2.ap-southeast-2.amazonaws.com,41.0
2025-07-06T07:14:18.496154,208.67.222.222,28.0
2025-07-06T07:14:18.704241,8.8.8.8,31.0
